X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
473626.628536341,4434682.99564418,train,6.77814961459934E-4,78.9164259854862,0.7074162086367346
473718.178754241,4434680.63262233,train,0.00149731936704358,97.42166089570375,0.8422978366399898
473805.036298005,4434472.10105186,train,0.0017608479768766883,98.84648016825105,0.8626580458680345
473815.130164937,4434738.96550454,train,0.0012294023249482806,94.63680435381649,0.8143122179972992
473908.586232772,4434555.89241544,train,0.0014227666935956063,96.757817619849,0.8353945040622466
473935.747830172,4434673.42308508,train,0.0018830118675384722,99.30403764943075,0.8704137055077353
473942.599419476,4434508.38639434,train,0.0010398782527500968,90.99591912082529,0.7876558060796035
474213.396845688,4433458.55019516,train,7.53538789382961E-5,11.39063564178776,0.2118498527049552
474363.340837344,4433520.03801908,train,3.375438439929071E-4,52.04829450917222,0.5462893635757282
474422.08479708,4433539.15095115,train,7.025999565050716E-4,80.24926061842595,0.7147937512787682
474499.178838266,4432955.58603606,train,7.4500661161111E-5,11.202776199795371,0.209954742722802
474595.68047004,4434948.17526879,train,5.25582099827218E-4,70.76359981422884,0.652149303714563
474618.988178548,4434924.01368223,train,2.4493740307949803E-4,39.43228196189794,0.4663002799558528
474631.986100117,4434834.32486089,train,3.044752084278923E-4,47.12937155751669,0.5206341321439257
474662.217253871,4432829.65291504,train,3.181713820921516E-4,49.095610881892206,0.5316037960325581
475796.25242747,4435593.23159799,train,3.5277926940614524E-5,4.454896854791755,0.11177384849285779
476801.27912229,4434743.52916058,train,2.8576631338996146E-4,44.7641023121857,0.5047918922611414
476826.326212029,4434749.15843075,train,4.939294361458334E-4,68.14727218881379,0.637928945402777
477144.152422832,4434539.7274055,train,8.964302626956753E-4,87.32990928136397,0.7617711228800875
477425.787824712,4433691.04498453,train,0.0011459908399815155,92.60578223385174,0.8034532476807862
477868.851264658,4435269.53992436,train,4.3430095045915044E-4,62.54382818171453,0.6077183584286492
478142.806326324,4430937.28289116,train,9.817192823098045E-5,15.703554103256455,0.25936224666208746
478371.81527373,4438053.24765695,train,5.793182673835531E-5,8.274598818616052,0.1712577701157812
478471.089229703,4431465.7060797,train,3.0574029922756795E-4,47.34328845277034,0.5216688716765419
478473.588624133,4431208.95352267,train,1.1439093177614303E-4,18.535587993580215,0.2897940651019037
478492.427775517,4431197.31575478,train,4.0073964347987106E-4,59.50966681435744,0.5883880671532786
478432.340064381,4431094.69929243,train,4.990173619447337E-4,68.60188270745006,0.6402926731443469
478578.955216179,4435857.94086172,train,2.253337966838529E-4,36.279285715527664,0.44561021961693004
478574.892622357,4435789.9262396,train,3.8238915894549475E-4,57.23240871256091,0.5769908493658517
478570.079415496,4431033.98153766,train,6.854711153497758E-4,79.2547600483981,0.7097355695266594
478660.734396587,4431008.40137245,train,6.620620437225908E-4,78.21655846257731,0.7025254677891009
478611.727895665,4430656.88434673,train,8.602967217096883E-4,86.28488563030254,0.754224420051847
479014.218547662,4431305.52482985,train,2.530419287483733E-4,40.765248970582135,0.47440962119798985
479360.229199745,4432923.22165531,train,6.279380161602382E-5,9.150132446760862,0.18300045980401355
481006.880582198,4432476.03282277,train,8.405013760248593E-5,13.002849716078499,0.23065920176544877
481018.45630754,4431729.599701,train,1.2677413921119177E-4,20.80484075598321,0.3113963822361555
481376.517915445,4433998.86819858,train,1.6122923442425053E-4,26.555685409797494,0.3651271563282247
481482.53785365,4434047.07547029,train,2.66012861997887E-4,42.43386571536129,0.48688761373896716
481584.016022811,4433922.88752311,train,3.777216547236739E-4,56.61429878052329,0.5739905310986264
481570.308879399,4433897.9475614,train,3.034822224484008E-4,46.96654491240968,0.5198188105221415
