Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.82037E-12,0.000000001,0.000000018,0.998697493,0,0
1.27777E-11,0.000000003,0.000000047,0.99858895,0,0
1.29032E-10,0.000000021,0.000000478,0.998154781,0,0
1.48678E-10,0.000000036,0.000000551,0.998046239,0,0
2.6904E-10,0.000000101,0.000000997,0.997720612,0,0
4.31087E-10,0.00000025,0.000001597,0.997286443,0,0
1.20265E-9,0.000001091,0.000004455,0.99620102,0,0
2.33434E-9,0.000002638,0.000008647,0.995332682,0,0
5.01902E-9,0.000010472,0.000018591,0.992944752,0,0
7.87838E-9,0.000025011,0.000029182,0.99044828,0,0
1.45982E-8,0.000050089,0.000054072,0.987951807,0,0
2.07625E-8,0.000100003,0.000076903,0.984804081,0,0
3.73791E-8,0.000251179,0.000138441,0.97905134,0,0
5.64836E-8,0.000502942,0.000209183,0.973190058,0,0
9.01606E-8,0.001005789,0.000333862,0.965809183,0,0
1.67904E-7,0.002508022,0.000621564,0.952567025,0,0
2.59667E-7,0.00501157,0.000960937,0.939867578,0,0
4.51277E-7,0.010010432,0.001668835,0.924237491,0,0
9.36476E-7,0.025083743,0.003456916,0.899706936,0,0
1.51157E-6,0.050130492,0.005567994,0.877781396,0,0
2.36361E-6,0.100213249,0.008679309,0.849886031,0,0
3.81901E-6,0.200194664,0.013949101,0.814392706,0,0
5.14101E-6,0.300511121,0.01868752,0.789645067,0,0
6.18054E-6,0.400282302,0.022381626,0.770433084,0,0
7.5044E-6,0.500238647,0.027046063,0.754585911,0.025,0
8.6398E-6,0.600823042,0.031011192,0.741126669,0.025,0
9.48374E-6,0.700736645,0.033937573,0.729187018,0.025,0
9.85994E-6,0.750096508,0.035236372,0.723651362,0.025,0
1.03298E-5,0.800612916,0.036853648,0.718224248,0.025,0
1.10171E-5,0.900985321,0.03920942,0.708021274,0.025,0
1.19205E-5,1.000886745,0.04228869,0.698578096,0.025,0
1.27479E-5,1.101064424,0.04509151,0.689786172,0.025,0
1.35045E-5,1.201067047,0.047640253,0.681536959,0.025,0
1.41239E-5,1.300832454,0.049716719,0.673721915,0.025,0
1.49812E-5,1.401199357,0.052575849,0.666232498,0.025,0
1.56652E-5,1.500877528,0.054844691,0.65917725,0.025,0
1.73837E-5,1.75043254,0.060497344,0.642787366,0.025,0
1.93008E-5,2.00107512,0.066723829,0.627917074,0.025,0
2.08183E-5,2.251240589,0.071594311,0.614349289,0.025,0
2.26906E-5,2.501275864,0.077533974,0.601866927,0.025,0
2.43553E-5,2.750343798,0.082751677,0.590361446,0.025,0
2.58484E-5,3.001473719,0.087381372,0.579507218,0.025,0
2.76331E-5,3.252001976,0.09285437,0.569304244,0.025,0
2.92714E-5,3.502058139,0.097820993,0.559752524,0.025,0
3.07832E-5,3.751014181,0.102356092,0.550743515,0.025,0
3.19176E-5,4.002298342,0.105729203,0.542060132,0.025,0
3.32511E-5,4.25009541,0.109662285,0.533810919,0.025,0
3.44243E-5,4.500749498,0.113093857,0.525778791,0.025,0
3.58922E-5,4.750042991,0.117350285,0.518072289,0.025,0
3.73522E-5,5.002355958,0.121543776,0.510582872,0.025,0
3.88654E-5,5.253506425,0.125847829,0.503419082,0.025,0
4.04442E-5,5.503417941,0.130294049,0.496580918,0.025,0
4.19518E-5,5.751004441,0.134497681,0.490068382,0.025,0
4.32631E-5,6.002122477,0.138120994,0.483664387,0.025,0
4.45319E-5,6.252454888,0.141598221,0.477477477,0.025,0
4.60635E-5,6.502053296,0.145758308,0.471507652,0.025,0
4.73349E-5,6.7540084,0.149181234,0.465646369,0.025,0
4.8651E-5,7.003825822,0.152695673,0.460002171,0.025,0
5.00276E-5,7.250670936,0.156340838,0.454575057,0.025,0
5.13798E-5,7.504173958,0.159890951,0.449147943,0.025,0
5.24287E-5,7.753333882,0.162624283,0.443937914,0.025,0
5.38312E-5,8.003581176,0.166251217,0.438836427,0.025,0
5.53307E-5,8.254902089,0.170094706,0.433843482,0.025,0
5.6651E-5,8.501245824,0.17344936,0.429067622,0.025,0
5.81484E-5,8.753797145,0.17722145,0.424291762,0.025,0
5.93146E-5,9.000730831,0.180135631,0.419732986,0.025,0
6.08206E-5,9.253034579,0.183868245,0.41517421,0.025,0
6.2145E-5,9.505027563,0.187122828,0.410723977,0.025,0
6.35975E-5,9.750234183,0.19066258,0.406490828,0.025,0
6.48967E-5,10.001346768,0.193802613,0.402257679,0.025,0
6.59693E-5,10.250009012,0.196376794,0.398133073,0.025,0
6.73478E-5,10.503388219,0.199660975,0.394008466,0.025,0
6.84861E-5,10.754811286,0.202352749,0.389992402,0.025,0
6.97049E-5,11.00384484,0.205214809,0.38608488,0.025,0
7.07819E-5,11.256520609,0.207727108,0.382177358,0.025,0
7.20629E-5,11.506234748,0.210694297,0.378378378,0.025,0
7.35826E-5,11.754140428,0.21418578,0.374687941,0.025,0
7.51138E-5,12.007001337,0.217672789,0.370997504,0.025,0
7.61097E-5,12.256437953,0.219924052,0.367415608,0.025,0
7.75612E-5,12.502219505,0.223182277,0.363942256,0.05,0
7.86943E-5,12.752229021,0.225706901,0.360468903,0.075,0
7.97198E-5,13.005530398,0.227977452,0.35699555,0.075,0
8.08009E-5,13.254285642,0.230357105,0.353630739,0.075,0
8.17721E-5,13.506495732,0.232482217,0.350265929,0.075,0
8.29157E-5,13.753325837,0.234969382,0.34700966,0.075,0
8.38741E-5,14.003965181,0.237041703,0.343753392,0.075,0
8.49706E-5,14.257217528,0.239398698,0.340497124,0.075,0
8.62513E-5,14.505425643,0.242133304,0.337349398,0.1,0
8.7513E-5,14.757711774,0.244808028,0.334201672,0.1,0
8.89493E-5,15.00462193,0.247830222,0.331162488,0.125,0
9.03687E-5,15.255527587,0.25079318,0.328123304,0.125,0
9.14647E-5,15.501013455,0.253065161,0.325192663,0.125,0
9.26393E-5,15.758469186,0.255484645,0.322153479,0.125,0
9.41348E-5,16.001586991,0.25854263,0.31933138,0.125,0
9.54757E-5,16.257319793,0.261263392,0.316400738,0.125,0
9.65251E-5,16.506770145,0.263378687,0.313578639,0.125,0
9.81211E-5,16.750117948,0.26657248,0.310865082,0.125,0
