X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
473626.628536341,4434682.99564418,train,0.0020874549607855686,95.88573120985141,0.8854836436873723
473718.178754241,4434680.63262233,train,0.0033389453811402694,98.48505190740157,0.9251954101185514
473805.036298005,4434472.10105186,train,0.0030219770438111517,97.8221639843639,0.917992761572791
473942.053512125,4434716.18349083,train,0.0035115585991666006,99.1781960936535,0.9286099777657443
473942.599419476,4434508.38639434,train,0.0021247185890851893,96.09816674454164,0.8872656322097779
474213.396845688,4433458.55019516,train,1.5016586717145683E-4,26.603934105637315,0.3574281920266177
474363.340837344,4433520.03801908,train,6.636979631104262E-4,81.54321100603175,0.7108555004760551
474499.178838266,4432955.58603606,train,1.0594796540938586E-4,18.371424277193697,0.2818433143954155
474595.68047004,4434948.17526879,train,0.0015269539507335094,93.0224577022906,0.849763274542688
474618.988178548,4434924.01368223,train,7.170346669096005E-4,83.26448692592626,0.7264806802916985
474631.986100117,4434834.32486089,train,7.489430919743438E-4,84.31942702196271,0.7350463092598252
474628.990813098,4433971.15024905,train,3.019527121761906E-4,52.2606410074054,0.5279672446903882
475796.25242747,4435593.23159799,train,8.810085817638903E-5,14.858768763513396,0.24604795969982896
475751.494564062,4435485.3597763,train,8.555388967094751E-5,14.370262917025418,0.2406465493182764
476801.27912229,4434743.52916058,train,3.505917921788931E-4,58.637927560443934,0.5649651742575773
476826.326212029,4434749.15843075,train,5.145850468814355E-4,73.81543575746909,0.6559000583314659
477144.152422832,4434539.7274055,train,6.43122106750484E-4,80.83550754950443,0.7043397920610781
477389.601427484,4433486.20027707,train,4.654191647747128E-4,70.19457884484082,0.6328943611862019
477428.754498064,4435038.04589905,train,7.863696927361222E-5,12.739579451539107,0.22557945442981722
477425.787824712,4433691.04498453,train,9.114358588623214E-4,87.94549359439014,0.7714887532943621
477499.819534493,4433530.09478197,train,8.242950574220151E-4,86.03103974781494,0.7532913502373672
477868.851264658,4435269.53992436,train,4.026896918135175E-4,64.50845033056227,0.5986592398469275
478142.806326324,4430937.28289116,train,1.146205996120594E-4,20.109899041749905,0.2980382634055411
478371.81527373,4438053.24765695,train,1.3170896720572645E-4,23.155278002992144,0.3279018935110925
478471.089229703,4431465.7060797,train,3.2273384477471683E-4,55.00993675100192,0.5445176565086116
478473.588624133,4431208.95352267,train,1.4221296378433062E-4,25.206127831370683,0.3450298157387672
478492.427775517,4431197.31575478,train,5.379765632329455E-4,75.11478059216972,0.6658624623685124
478432.340064381,4431094.69929243,train,4.546643260124215E-4,69.21349325279365,0.6274458191089388
478578.955216179,4435857.94086172,train,2.214159965449776E-4,39.90953760193292,0.4506013510287673
478574.892622357,4435789.9262396,train,3.4784869600443474E-4,58.32474918198651,0.5630336107099754
478570.079415496,4431033.98153766,train,7.380426167198351E-4,84.06872986876407,0.7321811253996672
478611.727895665,4430656.88434673,train,7.736017827512182E-4,84.7761449628886,0.7413069763864693
479014.218547662,4431305.52482985,train,3.329552022033662E-4,56.29863042122825,0.5522395142298837
479360.229199745,4432923.22165531,train,7.667764936429728E-5,12.352608449875232,0.22120218934212227
481018.45630754,4431729.599701,train,1.439864435643213E-4,25.556907435435214,0.34783589910269436
481376.517915445,4433998.86819858,train,3.7035832196026476E-4,60.874753540814375,0.5783945726401195
481482.53785365,4434047.07547029,train,2.3713689340081642E-4,42.68340554628264,0.4676335792686364
481584.016022811,4433922.88752311,train,3.455781467221067E-4,58.08849617497904,0.5614217706546135
481570.308879399,4433897.9475614,train,3.1864019391946065E-4,54.52870986780734,0.5413498415736767
483001.938939244,4433989.27141803,train,6.9668908400425236E-6,0.4596547098515329,0.025157606601734436
