X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
473626.628536341,4434682.99564418,train,5.540255838895815E-4,85.50486944966485,0.7074016337702619
473718.178754241,4434680.63262233,train,9.944129448071339E-4,99.34895744646414,0.8127135387002952
473805.036298005,4434472.10105186,train,0.0010512171904954102,99.76101639565036,0.821022558943538
473908.586232772,4434555.89241544,train,7.486384806590823E-4,94.96942591467585,0.7656380840427667
473942.053512125,4434716.18349083,train,9.231558080436038E-4,98.13312413473453,0.8011320640951992
473942.599419476,4434508.38639434,train,6.213981679252615E-4,90.34711631359768,0.7305783515375577
474363.340837344,4433520.03801908,train,3.97646206185201E-4,70.26634549427642,0.6344022417604995
474422.08479708,4433539.15095115,train,6.094162845735941E-4,89.72916986551417,0.7267287492621455
474499.178838266,4432955.58603606,train,1.0080953488513982E-4,16.631455345165747,0.30551318486392026
474595.68047004,4434948.17526879,train,5.290169932325984E-4,83.98552062511096,0.6977502081781091
474618.988178548,4434924.01368223,train,2.8899739718139984E-4,53.44534548619755,0.557742352606202
474631.986100117,4434834.32486089,train,3.3172507134794865E-4,61.011868116627575,0.5914332060629268
474628.990813098,4433971.15024905,train,2.4821228957977654E-4,45.92700366567736,0.5199571919758735
474662.217253871,4432829.65291504,train,4.3619763747138263E-4,74.86551933004627,0.6555853639305351
475796.25242747,4435593.23159799,train,5.063349606308338E-5,6.655976326053032,0.1809684572950192
475751.494564062,4435485.3597763,train,5.782350044362503E-5,7.978005248414795,0.2014883636059401
476801.27912229,4434743.52916058,train,3.0336360663982763E-4,56.0096898131203,0.5696734403194822
476826.326212029,4434749.15843075,train,4.662734970313298E-4,78.51643007142073,0.6704805207885943
477144.152422832,4434539.7274055,train,6.604206779055196E-4,91.96865625204023,0.7423968733455355
477389.601427484,4433486.20027707,train,4.2607600661999053E-4,73.56040466481289,0.6502650722673166
477425.787824712,4433691.04498453,train,6.510488297262277E-4,91.77292278443713,0.7396540901806373
478142.806326324,4430937.28289116,train,7.69174742601884E-5,11.490203039914576,0.2513020365832832
478371.81527373,4438053.24765695,train,6.882511889215153E-5,9.963800659549582,0.23096959899126823
478379.521373063,4431448.42505382,train,1.4066041736215777E-4,24.90445820103152,0.3803496074679136
478471.089229703,4431465.7060797,train,3.6109170823848236E-4,65.01128823516719,0.6117605788720372
478473.588624133,4431208.95352267,train,9.311453448845824E-5,14.766822506632241,0.28893072688808585
478492.427775517,4431197.31575478,train,2.3548930982897565E-4,43.75947081508202,0.5068126619396924
478578.955216179,4435857.94086172,train,1.897086708749762E-4,34.365638030722735,0.4529090812464073
478574.892622357,4435789.9262396,train,3.434094724971371E-4,63.00724848340598,0.5997708356897115
478624.753504868,4431595.33966863,train,4.160242271115056E-4,72.47141633913427,0.644816291433066
478660.734396587,4431008.40137245,train,4.26889274135038E-4,73.66973007632355,0.6506986201555577
479014.218547662,4431305.52482985,train,2.545286810862646E-4,47.481403613751404,0.5262259943489151
479360.229199745,4432923.22165531,train,9.317424290449892E-5,14.78166475284637,0.289062444321817
481006.880582198,4432476.03282277,train,1.913303450447564E-4,34.76425533244347,0.45501901488599605
481018.45630754,4431729.599701,train,1.556994766175386E-4,28.12026277046486,0.40456363843036564
481482.53785365,4434047.07547029,train,3.088162992520502E-4,56.872115708065444,0.5740350557240964
481584.016022811,4433922.88752311,train,3.7369543184458354E-4,67.03219544992953,0.6198774102241461
481570.308879399,4433897.9475614,train,3.172373888003407E-4,58.596266535257364,0.5806000575767378
483001.938939244,4433989.27141803,train,1.4171597441645632E-5,1.1013064001590764,0.058240255480260454
483105.818653542,4434799.14261903,train,3.383411909524109E-4,62.01694238475392,0.5961964290272537
