species,X,Y,soc,sand,roads,green,fla,rivers
Phytophthora_PA3_RUN8,473815.130164937,4434738.96550454,-0.528341114521027,0.595674991607666,-1.05357372760773,0.227049961686134,0.314962357282639,0.309428840875626
Phytophthora_PA3_RUN8,473908.586232772,4434555.89241544,-0.800564885139465,0.730017006397247,0.259040653705597,1.53636765480042,0.742583572864532,-0.42970672249794
Phytophthora_PA3_RUN8,473942.053512125,4434716.18349083,-0.596693158149719,0.557427227497101,-0.410848647356033,0.852972209453583,0.248468860983849,0.35245817899704
Phytophthora_PA3_RUN8,473935.747830172,4434673.42308508,-0.762659728527069,0.647004306316376,-0.241077587008476,1.00102174282074,0.321217834949493,-0.00303520006127656
Phytophthora_PA3_RUN8,473942.599419476,4434508.38639434,-0.772762417793274,0.656473636627197,0.386003404855728,1.26554155349731,0.043965321034193,-0.345530837774277
Phytophthora_PA3_RUN8,474213.396845688,4433458.55019516,-0.252088844776154,0.783550024032593,-0.307707935571671,-0.517610907554626,-0.546496450901031,0.969868361949921
Phytophthora_PA3_RUN8,474363.340837344,4433520.03801908,-0.302699685096741,0.758805871009827,-0.844909608364105,-0.61658376455307,-0.182966157793999,0.770839273929596
Phytophthora_PA3_RUN8,474422.08479708,4433539.15095115,-0.21865351498127,0.747522473335266,-0.0437206625938416,0.481890290975571,0.697990238666534,0.523030400276184
Phytophthora_PA3_RUN8,474499.178838266,4432955.58603606,0.190593600273132,0.584138989448547,0.617213189601898,0.204039379954338,-0.495397806167603,-0.00204024976119399
Phytophthora_PA3_RUN8,474595.68047004,4434948.17526879,-0.340865045785904,0.368662774562836,-0.961752653121948,0.0435321740806103,2.82966470718384,0.165071368217468
Phytophthora_PA3_RUN8,474628.990813098,4433971.15024905,0.0249824933707714,0.639574706554413,-0.628918051719666,-0.685686588287354,0.0994093865156174,0.231022894382477
Phytophthora_PA3_RUN8,474662.217253871,4432829.65291504,-0.261725783348083,0.504789113998413,-0.730780839920044,0.848410725593567,-0.487922996282578,-0.727052986621857
Phytophthora_PA3_RUN8,475796.25242747,4435593.23159799,0.18449755012989,0.117916896939278,-0.440429627895355,-0.343743592500687,-0.530690610408783,-0.0813156068325043
Phytophthora_PA3_RUN8,475751.494564062,4435485.3597763,0.0873602777719498,0.187982350587845,-0.192004725337029,-1.02161312103271,-0.485697120428085,0.0390499271452427
Phytophthora_PA3_RUN8,476801.27912229,4434743.52916058,-0.131628751754761,0.588390707969666,-0.638031184673309,-0.437306880950928,-0.291611135005951,-0.386884361505508
Phytophthora_PA3_RUN8,476826.326212029,4434749.15843075,-0.329271554946899,0.61093270778656,-1.0395427942276,-0.469527125358582,-0.112440541386604,-0.40230005979538
Phytophthora_PA3_RUN8,477389.601427484,4433486.20027707,-0.0430952496826649,0.879310131072998,-0.420355230569839,-0.0862918868660927,-0.133746758103371,-0.469922691583633
Phytophthora_PA3_RUN8,477428.754498064,4435038.04589905,0.341690748929977,0.517082452774048,1.36509823799133,0.458828002214432,0.352997690439224,0.620934724807739
Phytophthora_PA3_RUN8,477425.787824712,4433691.04498453,0.0917433500289917,0.734053492546082,-1.07291722297668,0.896032989025116,-0.323921740055084,-0.0694888830184937
Phytophthora_PA3_RUN8,477499.819534493,4433530.09478197,0.0674061551690102,0.762877106666565,-0.805538415908813,1.33954334259033,-0.198669791221619,0.00792391691356897
Phytophthora_PA3_RUN8,477868.851264658,4435269.53992436,0.432799071073532,0.620416939258575,-1.01497209072113,1.03748345375061,-0.344391971826553,-0.0299193896353245
Phytophthora_PA3_RUN8,478379.521373063,4431448.42505382,-0.663380086421967,0.53249317407608,0.055783037096262,1.64872646331787,-0.539164662361145,-1.06319785118103
Phytophthora_PA3_RUN8,478471.089229703,4431465.7060797,-0.643512725830078,0.47754180431366,-0.262689739465714,1.05133998394012,-0.440061837434769,-0.944900274276733
Phytophthora_PA3_RUN8,478473.588624133,4431208.95352267,-0.706545948982239,0.519645571708679,0.363569468259811,1.8184278011322,-0.592427253723145,-0.727264642715454
Phytophthora_PA3_RUN8,478492.427775517,4431197.31575478,-0.769803941249847,0.52183610200882,0.154096245765686,2.94114708900452,-0.338267147541046,-0.773208379745483
Phytophthora_PA3_RUN8,478432.340064381,4431094.69929243,-0.799591958522797,0.601659297943115,0.0890545025467873,2.01926159858704,-0.187196761369705,-0.967379212379456
Phytophthora_PA3_RUN8,478578.955216179,4435857.94086172,0.192435190081596,0.0757553279399872,-0.751428067684174,1.31927537918091,0.135453999042511,-0.136316031217575
Phytophthora_PA3_RUN8,478574.892622357,4435789.9262396,-0.129791855812073,0.234579458832741,-0.465974122285843,1.61831212043762,0.381862312555313,-0.406839996576309
Phytophthora_PA3_RUN8,478570.079415496,4431033.98153766,-0.907121181488037,0.54421854019165,-0.712286293506622,2.20143795013428,-0.341591060161591,-0.985473692417145
Phytophthora_PA3_RUN8,478624.753504868,4431595.33966863,-0.486981779336929,0.340018063783646,-0.960502564907074,0.582636177539825,1.82632076740265,-0.951923727989197
Phytophthora_PA3_RUN8,478660.734396587,4431008.40137245,-0.840952157974243,0.516832053661346,-0.726707458496094,2.42529606819153,-0.383204728364944,-0.797227621078491
Phytophthora_PA3_RUN8,479360.229199745,4432923.22165531,-0.184376001358032,0.137154996395111,0.398003965616226,1.0042496919632,3.01218751701526e-05,-1.117222905159
Phytophthora_PA3_RUN8,481006.880582198,4432476.03282277,-0.229388147592545,0.256944298744202,-0.925789296627045,-0.217597454786301,-0.430852383375168,0.974089980125427
