X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
473815.130164937,4434738.96550454,train,8.611161889858624E-4,95.50147156447892,0.7852455992935349
473908.586232772,4434555.89241544,train,7.999600503110532E-4,94.00771309380961,0.7725618661198725
473942.053512125,4434716.18349083,train,9.256140006726716E-4,97.03579624904094,0.7971747819546673
473935.747830172,4434673.42308508,train,0.0011958709788554023,99.04149420605981,0.835470078978618
473942.599419476,4434508.38639434,train,6.758938724921527E-4,89.28661640689926,0.7416013160028807
474213.396845688,4433458.55019516,train,2.006407646311585E-4,36.073865058218985,0.46003248043224443
474363.340837344,4433520.03801908,train,4.291854218203016E-4,72.11150616745064,0.645693158766316
474422.08479708,4433539.15095115,train,6.238984403645803E-4,86.68778083362066,0.7259677194759678
474499.178838266,4432955.58603606,train,1.2548210154224797E-4,21.632792801792167,0.3476092179742366
474595.68047004,4434948.17526879,train,3.805891773176609E-4,65.35763266759389,0.6177461174573307
474628.990813098,4433971.15024905,train,2.5180973632702683E-4,46.354102790732,0.516730208889897
474662.217253871,4432829.65291504,train,3.0075138730967547E-4,54.514379356774725,0.5608360982877659
475796.25242747,4435593.23159799,train,6.629650328989147E-5,9.927750340583003,0.21966994538907175
475751.494564062,4435485.3597763,train,4.6828440674200506E-5,6.262441379813412,0.16586276141621156
476801.27912229,4434743.52916058,train,2.6426207946052645E-4,48.38929047772203,0.5287715244895617
476826.326212029,4434749.15843075,train,3.521981773044982E-4,61.678284654352986,0.5992800131391304
477389.601427484,4433486.20027707,train,4.28065483574417E-4,71.98567946724519,0.6450951780222496
477428.754498064,4435038.04589905,train,5.469020905162951E-5,7.727397890546018,0.18846070868591622
477425.787824712,4433691.04498453,train,8.464796350753879E-4,95.07465446577059,0.7823405051506546
477499.819534493,4433530.09478197,train,0.0010111997277485575,98.25845504813802,0.8110986542955123
477868.851264658,4435269.53992436,train,4.501412990310467E-4,74.82766804668601,0.656522096865773
478379.521373063,4431448.42505382,train,2.0593919941375765E-4,37.208802315368075,0.46651345600539473
478471.089229703,4431465.7060797,train,2.880628778359322E-4,52.58824116807099,0.5501930736664896
478473.588624133,4431208.95352267,train,1.1402596360238593E-4,19.414435542911395,0.3262265633951517
478492.427775517,4431197.31575478,train,3.567206893333504E-4,62.293783492496665,0.6023401032512974
478432.340064381,4431094.69929243,train,4.2013199548211484E-4,71.13810411754078,0.6408006714124328
478578.955216179,4435857.94086172,train,2.1859169251124095E-4,39.723285190693744,0.4813780202576837
478574.892622357,4435789.9262396,train,3.181456168003616E-4,57.09707968119355,0.5746334843181156
478570.079415496,4431033.98153766,train,5.686420076709969E-4,83.53134363696844,0.7071377484946842
478624.753504868,4431595.33966863,train,2.342183210223413E-4,43.49978857974703,0.49863143232689416
478660.734396587,4431008.40137245,train,5.939793740397325E-4,85.16280424629788,0.7160835070997623
479360.229199745,4432923.22165531,train,6.598368147146557E-5,9.857234907980386,0.21886027962223562
481006.880582198,4432476.03282277,train,1.7204688053245405E-4,30.882087726609956,0.4221482091550957
481018.45630754,4431729.599701,train,1.9137137002700488E-4,34.33538292007549,0.44830734426324437
481376.517915445,4433998.86819858,train,1.3273428917470615E-4,23.0128136015714,0.3604575835897922
481482.53785365,4434047.07547029,train,2.293997205845898E-4,42.0119275205362,0.49343488384455403
481584.016022811,4433922.88752311,train,3.8038912600537065E-4,65.33888180902373,0.6176219556737593
481570.308879399,4433897.9475614,train,2.8632638814189774E-4,52.19359561362992,0.5486962557583451
483001.938939244,4433989.27141803,train,2.2792835894319858E-5,2.426962726846407,0.08824279447479988
483105.818653542,4434799.14261903,train,3.319857468768651E-4,58.87012937108144,0.5850074651483467
