Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.81282E-11,0.000000003,0.000000066,0.998480408,0,0
9.88075E-11,0.000000019,0.000000357,0.998154781,0,0
1.22324E-10,0.000000031,0.000000442,0.998046239,0,0
4.1614E-10,0.000000111,0.000001505,0.997720612,0,0
6.66031E-10,0.000000264,0.000002409,0.997394985,0,0
1.62889E-9,0.000001087,0.000005891,0.996635189,0,0
2.52241E-9,0.00000254,0.000009122,0.995875393,0,0
7.25189E-9,0.00001056,0.000026225,0.994030175,0,0
1.12888E-8,0.000025298,0.000040824,0.992293498,0,0
1.61371E-8,0.000050723,0.000058355,0.990231195,0,0
2.39305E-8,0.000101187,0.000086535,0.987517638,0,0
4.28811E-8,0.000251312,0.000155052,0.982741778,0,0
6.19676E-8,0.000503345,0.000224051,0.977531749,0,0
9.55212E-8,0.001001221,0.000345326,0.970585043,0,0
1.89354E-7,0.002517435,0.000684316,0.958862477,0,0
3.26242E-7,0.005021175,0.001178438,0.948008249,0,0
4.85729E-7,0.010018602,0.001753521,0.934549007,0,0
9.59443E-7,0.025013966,0.003457754,0.911429502,0,0
1.52873E-6,0.050081426,0.005498126,0.88939542,0,0
2.51586E-6,0.100221818,0.009016388,0.862476935,0,0
3.89327E-6,0.200200633,0.013884232,0.82839466,0,0
5.229E-6,0.300141195,0.018559327,0.804623901,0,0
6.41544E-6,0.400084009,0.022674866,0.785954629,0,0
7.30629E-6,0.500482806,0.025742466,0.770107457,0,0
8.19613E-6,0.600813192,0.028787395,0.756105503,0,0
8.90909E-6,0.700495985,0.031213373,0.743514599,0,0
9.23918E-6,0.750353209,0.032332464,0.737544774,0,0
9.59873E-6,0.800383407,0.033548504,0.731792033,0,0
1.04291E-5,0.900726556,0.03634525,0.720937805,0,0
1.12284E-5,1.000278592,0.039021941,0.710951916,0,0
1.19129E-5,1.100814932,0.041302695,0.701508738,0,0
1.27359E-5,1.2006079,0.044030354,0.692716813,0,0
1.34064E-5,1.301218537,0.046241329,0.684359058,0,0
1.42062E-5,1.400721923,0.048865025,0.676544014,0.025,0
1.48046E-5,1.500565594,0.050818739,0.669054597,0.025,0
1.65612E-5,1.750306804,0.056507886,0.651687832,0.025,0
1.82393E-5,2.00135246,0.061879367,0.636057744,0.025,0
1.96391E-5,2.251701902,0.066313493,0.621730164,0.025,0
2.13232E-5,2.501637355,0.071592946,0.608488006,0.025,0
2.28378E-5,2.751241455,0.076290286,0.596222729,0.025,0
2.45319E-5,3.000109713,0.081488245,0.58482579,0.025,0
2.59613E-5,3.252172968,0.085828984,0.573971562,0.025,0
2.73653E-5,3.500871044,0.090052546,0.56387713,0.025,0
2.91419E-5,3.752243546,0.095341401,0.554216867,0.025,0
3.05498E-5,4.000135023,0.099489358,0.545207858,0.025,0
3.19479E-5,4.250133552,0.103570894,0.536524476,0.025,0
3.3112E-5,4.500482278,0.106941065,0.528166721,0.025,0
3.44358E-5,4.750223903,0.110743027,0.520134592,0.025,0
3.55801E-5,5.002511622,0.11400345,0.512319548,0.025,0
3.69823E-5,5.252612818,0.117966355,0.504830131,0.025,0
3.8311E-5,5.501278893,0.121689095,0.497666341,0.025,0
3.9678E-5,5.750872162,0.125486212,0.490719635,0.025,0
4.09228E-5,6.000887947,0.128915388,0.483990014,0.025,0
4.21521E-5,6.253907375,0.132275763,0.477368935,0.025,0
4.29773E-5,6.500902895,0.134517067,0.471073483,0.025,0
4.43603E-5,6.753841258,0.138247252,0.464778031,0.05,0
4.55748E-5,7.001470535,0.141496656,0.458808206,0.05,0
4.70951E-5,7.251099087,0.145529924,0.452946923,0.05,0
4.83719E-5,7.504289184,0.148887936,0.447194182,0.05,0
4.98345E-5,7.754494775,0.152702392,0.441658526,0.05,0
5.10223E-5,8.001990105,0.155775068,0.436339954,0.05,0
5.24813E-5,8.250550584,0.159518777,0.431129925,0.05,0
5.36619E-5,8.500390909,0.162524069,0.426028438,0.05,0
5.47753E-5,8.755063065,0.165338666,0.420926951,0.05,0
5.63968E-5,9.005180483,0.169403997,0.416042549,0.05,0
5.75872E-5,9.250256782,0.172363408,0.411375231,0.05,0
5.89112E-5,9.500514272,0.175630293,0.406707913,0.05,0
6.01225E-5,9.750710004,0.178596449,0.402149137,0.05,0
6.13691E-5,10.005572598,0.181627053,0.397590361,0.05,0
6.2394E-5,10.252932963,0.184101757,0.39324867,0.05,0
6.35086E-5,10.504835783,0.186776435,0.388906979,0.05,0
6.50562E-5,10.754977089,0.1904609,0.38467383,0.05,0
6.62869E-5,11.004606031,0.193367169,0.380549224,0.05,0
6.73359E-5,11.251785879,0.195828021,0.37653316,0.05,0
6.9122E-5,11.504733236,0.199983676,0.372517095,0.05,0
7.05952E-5,11.756452528,0.203378966,0.368609573,0.05,0
7.21231E-5,12.006246576,0.206870167,0.364810594,0.075,0
7.34437E-5,12.253490893,0.209863063,0.361120156,0.075,0
7.47908E-5,12.505523657,0.212892904,0.357429719,0.075,0
7.60149E-5,12.754092017,0.215626091,0.353847824,0.075,0
7.71719E-5,13.006801728,0.218191966,0.350265929,0.075,0
7.84737E-5,13.255963405,0.221058971,0.346792576,0.075,0
7.93529E-5,13.50053819,0.222983307,0.343427765,0.075,0
8.10623E-5,13.757088774,0.226697813,0.339954412,0.075,0
8.20434E-5,14.001778842,0.228813737,0.336698144,0.075,0
8.2978E-5,14.257723579,0.23081875,0.333333333,0.075,0
8.4137E-5,14.500247194,0.233290623,0.330185607,0.075,0
8.55878E-5,14.754637102,0.236362443,0.326929339,0.075,0
8.66906E-5,15.004778514,0.238681135,0.323781613,0.075,0
8.82066E-5,15.258263669,0.241845582,0.320633887,0.075,0
