Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.15221E-12,0.000000001,0.000000021,0.999674373,0,0
1.2026E-11,0.000000003,0.000000036,0.999565831,0,0
3.50759E-11,0.00000001,0.000000105,0.999240204,0,0
1.27327E-10,0.000000031,0.000000381,0.99902312,0,0
3.24652E-10,0.000000111,0.000000971,0.998697493,0,0
5.48144E-10,0.000000256,0.00000164,0.998371866,0,0
1.27813E-9,0.000001019,0.000003823,0.997503528,0,0
2.54835E-9,0.000002673,0.000007623,0.996635189,0,0
5.10962E-9,0.000010199,0.000015284,0.994681428,0,0
9.42841E-9,0.000025393,0.000028201,0.992510583,0,0
1.28398E-8,0.000051136,0.000038405,0.99001411,0,0
1.87492E-8,0.000100253,0.000056079,0.9866493,0,0
3.44131E-8,0.000250545,0.000102926,0.98046239,0,0
4.96837E-8,0.000503924,0.000148591,0.973732769,0,0
8.08889E-8,0.001005531,0.000241896,0.965266471,0,0
1.48877E-7,0.002503625,0.000445121,0.950613264,0,0
2.61613E-7,0.005004036,0.000781923,0.937045479,0,0
4.42295E-7,0.010006164,0.00132124,0.921741018,0,0
9.92185E-7,0.025047705,0.002959032,0.898404429,0,0
1.52073E-6,0.050041132,0.004528181,0.876695973,0,0
2.35987E-6,0.100011504,0.007009342,0.848366439,0,0
3.7825E-6,0.200138839,0.011187585,0.81265603,0,0
4.8665E-6,0.300450853,0.014347773,0.787257137,0,0
5.91235E-6,0.400214633,0.017377645,0.767176815,0,0
6.88716E-6,0.500314311,0.020184992,0.750135678,0,0
7.79849E-6,0.600583815,0.022795033,0.735265386,0,0
8.56954E-6,0.700401633,0.024992497,0.722023228,0,0
8.98492E-6,0.750417307,0.026172199,0.715836318,0,0
9.38358E-6,0.80012338,0.027301771,0.709975035,0,0
1.01493E-5,0.900934924,0.02946391,0.698795181,0,0
1.07821E-5,1.000307067,0.03124378,0.688483664,0,0
1.15764E-5,1.100013692,0.033468211,0.678823402,0,0
1.23768E-5,1.200898847,0.035699664,0.66970585,0,0
1.29608E-5,1.30121714,0.037321345,0.661131011,0,0
1.37158E-5,1.40018442,0.039409827,0.653098882,0.025,0
1.44368E-5,1.501251184,0.041395606,0.645283838,0.025,0
1.61025E-5,1.751506323,0.045952454,0.627482905,0.025,0
1.76241E-5,2.001585908,0.050076992,0.611418648,0.025,0
1.9277E-5,2.250993017,0.054517648,0.59676544,0.025,0
2.06973E-5,2.500520342,0.058300315,0.583197655,0.025,0
2.22505E-5,2.750371082,0.062402385,0.570606751,0.025,0
2.38981E-5,3.00179462,0.066714701,0.558775643,0.025,0
2.5494E-5,3.251530528,0.070854294,0.547812873,0.025,0
2.6721E-5,3.502025585,0.074012094,0.537392815,0.025,0
2.82693E-5,3.752315511,0.077966053,0.527515467,0.025,0
2.97787E-5,4.002283266,0.081788518,0.518180831,0.025,0
3.11267E-5,4.252454367,0.085175443,0.509280365,0.025,0
3.21962E-5,4.502792743,0.087845024,0.500705525,0.025,0
3.35824E-5,4.75273249,0.091282006,0.492456312,0.025,0
3.53677E-5,5.001770162,0.095670426,0.484641268,0.025,0
3.64414E-5,5.25335584,0.098289358,0.477043308,0.025,0
3.74581E-5,5.500893964,0.100755363,0.469770976,0.025,0
3.89357E-5,5.753034892,0.104315031,0.462607185,0.025,0
4.00463E-5,6.0018327,0.106972417,0.455769022,0.025,0
4.15338E-5,6.25100631,0.110506585,0.449147943,0.025,0
4.29058E-5,6.500138747,0.113741946,0.442743949,0.025,0
4.43478E-5,6.752931073,0.117116777,0.436448497,0.025,0
4.55701E-5,7.000141115,0.11995755,0.430478671,0.025,0
