species,X,Y,roads,rivers,aspect,fla,slope,tpi,twi,clay,soc,sand,silt,BIO4,BIO7,green
Phytophthora_PA1_RUN8,473626.628536341,4434682.99564418,0.101426064968109,-0.400220274925232,0.506876349449158,0.11828488856554,-0.24693176150322,0.575393795967102,-0.00174393597990274,-0.163505926728249,-0.229839786887169,0.678118050098419,-0.139168903231621,-2.33440375328064,-1.37285315990448,0.666411936283112
Phytophthora_PA1_RUN8,473805.036298005,4434472.10105186,-0.557649075984955,-0.626974403858185,0.381702393293381,0.670914471149445,-0.243419006466866,0.118827693164349,0.321093946695328,-0.200541883707047,-0.671883881092072,0.695637822151184,-0.132444128394127,-2.2183952331543,-1.27143549919128,0.85010552406311
Phytophthora_PA1_RUN8,473815.130164937,4434738.96550454,-1.05357372760773,0.309428840875626,0.373477309942245,0.314962357282639,-0.269768089056015,-0.137733906507492,0.16832971572876,-0.10035315901041,-0.528341114521027,0.595674991607666,-0.098872683942318,-2.21522831916809,-1.39268279075623,0.227049961686134
Phytophthora_PA1_RUN8,473908.586232772,4434555.89241544,0.259040653705597,-0.42970672249794,0.376244217157364,0.742583572864532,-0.364641100168228,0.0453253015875816,0.450206428766251,-0.310880422592163,-0.800564885139465,0.730017006397247,-0.0987543165683746,-2.2162983417511,-1.32927823066711,1.53636765480042
Phytophthora_PA1_RUN8,473942.053512125,4434716.18349083,-0.410848647356033,0.35245817899704,0.444234937429428,0.248468860983849,-0.0923514664173126,-0.116071343421936,-0.0392880775034428,-0.0287094227969646,-0.596693158149719,0.557427227497101,-0.108740821480751,-2.15718603134155,-1.42482841014862,0.852972209453583
Phytophthora_PA1_RUN8,473935.747830172,4434673.42308508,-0.241077587008476,-0.00303520006127656,0.507088959217072,0.321217834949493,-0.25037294626236,-0.19313108921051,0.0993204861879349,-0.189963728189468,-0.762659728527069,0.647004306316376,-0.0978671982884407,-2.15106844902039,-1.37013792991638,1.00102174282074
Phytophthora_PA1_RUN8,473942.599419476,4434508.38639434,0.386003404855728,-0.345530837774277,0.534985363483429,0.043965321034193,-0.251790285110474,-0.06305892765522,-0.0783338397741318,-0.204205214977264,-0.772762417793274,0.656473636627197,-0.0950209721922874,-2.10643982887268,-1.34501791000366,1.26554155349731
Phytophthora_PA1_RUN8,474213.396845688,4433458.55019516,-0.307707935571671,0.969868361949921,-1.25714671611786,-0.546496450901031,-0.592895805835724,0.850448310375214,-0.395257294178009,-0.022615397349,-0.252088844776154,0.783550024032593,-0.355891525745392,-1.46115660667419,-0.746231734752655,-0.517610907554626
Phytophthora_PA1_RUN8,474363.340837344,4433520.03801908,-0.844909608364105,0.770839273929596,-1.42973935604095,-0.182966157793999,1.61447620391846,0.124856047332287,-0.954912126064301,0.0702133178710938,-0.302699685096741,0.758805871009827,-0.395567864179611,-1.50018632411957,-0.598545074462891,-0.61658376455307
Phytophthora_PA1_RUN8,474422.08479708,4433539.15095115,-0.0437206625938416,0.523030400276184,-1.11420750617981,0.697990238666534,1.42756366729736,-1.87787580490112,-0.377790451049805,-0.0323305614292622,-0.21865351498127,0.747522473335266,-0.308930307626724,-1.56335175037384,-0.373046219348907,0.481890290975571
Phytophthora_PA1_RUN8,474499.178838266,4432955.58603606,0.617213189601898,-0.00204024976119399,-1.97700309753418,-0.495397806167603,3.09739184379578,1.20804381370544,-1.80860388278961,-0.403344094753265,0.190593600273132,0.584138989448547,0.140394613146782,-1.55841219425201,-0.288615673780441,0.204039379954338
Phytophthora_PA1_RUN8,474618.988178548,4434924.01368223,-0.453627675771713,0.18818736076355,0.299090057611465,0.598489761352539,-0.361894369125366,0.017215870320797,0.816277086734772,0.0800964310765266,-0.318702280521393,0.351070314645767,0.0470414310693741,-1.77948021888733,-1.42865085601807,-0.494691461324692
Phytophthora_PA1_RUN8,474631.986100117,4434834.32486089,-0.515420436859131,-0.170991763472557,0.417847096920013,0.445534974336624,-0.336091250181198,-0.0345688201487064,0.569683730602264,0.103217102587223,-0.511259615421295,0.396047651767731,-0.0193180553615093,-1.8049019575119,-1.37848722934723,-0.630179762840271
Phytophthora_PA1_RUN8,474628.990813098,4433971.15024905,-0.628918051719666,0.231022894382477,0.734170794487,0.0994093865156174,-0.740454196929932,0.173443347215652,0.553259432315826,0.153630271553993,0.0249824933707714,0.639574706554413,-0.323697149753571,-1.3075989484787,-0.82165116071701,-0.685686588287354
Phytophthora_PA1_RUN8,474662.217253871,4432829.65291504,-0.730780839920044,-0.727052986621857,-1.29201602935791,-0.487922996282578,1.5152291059494,0.499816328287125,-1.43945622444153,-0.52517569065094,-0.261725783348083,0.504789113998413,0.316429913043976,-1.67631220817566,0.358335971832275,0.848410725593567
Phytophthora_PA1_RUN8,475796.25242747,4435593.23159799,-0.440429627895355,-0.0813156068325043,0.164773106575012,-0.530690610408783,-0.701078236103058,0.263127535581589,-0.232323825359344,-0.00893559399992228,0.18449755012989,0.117916896939278,0.372103095054626,-0.288403570652008,-1.54417490959167,-0.343743592500687
Phytophthora_PA1_RUN8,475751.494564062,4435485.3597763,-0.192004725337029,0.0390499271452427,0.202619999647141,-0.485697120428085,-0.577974855899811,0.193965703248978,-0.411646783351898,-0.0374362729489803,0.0873602777719498,0.187982350587845,0.315035194158554,-0.317910999059677,-1.53505778312683,-1.02161312103271
