Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.01203E-11,0.000000002,0.000000039,0.999674409,0,0
2.04756E-11,0.000000004,0.00000008,0.999565878,0,0
5.06396E-11,0.000000012,0.000000198,0.999348817,0,0
3.15794E-10,0.000000056,0.000001232,0.999023226,0,0
3.69107E-10,0.000000125,0.00000144,0.998806165,0,0
4.54368E-10,0.000000254,0.000001773,0.998480573,0,0
1.92716E-9,0.000001105,0.00000752,0.997503799,0,0
4.18394E-9,0.000002704,0.000016325,0.996961146,0,0
9.44811E-9,0.000010567,0.000036865,0.995767311,0,0
1.45414E-8,0.000025575,0.000056737,0.994464945,0,0
2.22564E-8,0.00005167,0.000086837,0.992945518,0,0
2.91595E-8,0.000102704,0.000113767,0.990774908,0,0
4.69625E-8,0.000250097,0.000183214,0.986650749,0,0
7.32339E-8,0.000504961,0.000285677,0.981983937,0,0
1.13989E-7,0.001003964,0.000444587,0.976123291,0,0
1.82545E-7,0.002511069,0.000711782,0.96505318,0,0
2.87558E-7,0.005021799,0.001120793,0.953548947,0,0
4.6867E-7,0.010018309,0.001825412,0.939005861,0,0
8.63991E-7,0.025054091,0.00335996,0.914152377,0,0
1.43497E-6,0.050056571,0.005568076,0.890384198,0,0
2.27969E-6,0.100184031,0.008816902,0.861080964,0,0
3.69925E-6,0.200125088,0.014229063,0.824397656,0,0
4.8826E-6,0.30030154,0.018695704,0.79921858,0,0
5.93572E-6,0.400342068,0.022636871,0.779140438,0,0
6.86721E-6,0.500220365,0.026096552,0.762209681,0,0
7.78167E-6,0.600166077,0.02946923,0.747341003,0,0
8.71391E-6,0.700452466,0.032883531,0.734208813,0,0
9.13592E-6,0.750317603,0.03442127,0.728131105,0,0
9.5308E-6,0.800744318,0.03585569,0.722270458,0,0
1.03945E-5,0.900412972,0.038978282,0.711417408,0,0
1.12232E-5,1.000230306,0.041955539,0.701432603,0,0
1.20095E-5,1.100042873,0.044763474,0.69209898,0,0
1.28246E-5,1.200460202,0.047656658,0.68330801,0,0
1.35091E-5,1.30064654,0.050072888,0.675059692,0,0
1.41716E-5,1.400145667,0.052399822,0.667245496,0,0
1.49196E-5,1.500299083,0.055013449,0.659756892,0,0
